Titre,Titre_original,Annee,Public,Duree,Note,Type,Description,Actors,Country,Langue,Episode,Saison
Planet Earth II,,2016,TV-G,"TV Mini Series,4,h, ,58,m",9.5,Documentary,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,"David Attenborough,Elizabeth White,Michael J. Sanderson,Emma Napper,Pete McCowen,Barrie Britton,Thomas Crowley,Jerome Poncet,Max Hug Williams,Aaron Durogati,Armin Holtze,Jon Griffith,Juarez Sena Feitoza,Emma Brennand,J.P. Magnan","United Kingdom,Germany,France,China,United States","English,French",6,1
Dans leur regard,Original title: When They See Us,2019,TV-MA,"TV Mini Series,4,h, ,56,m",8.9,"Biography,Crime,Drama",Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,"Asante Blackk,Caleel Harris,Ethan Herisse,Marquis Rodriguez,Marsha Stephanie Blake,Kylie Bunbury,John Leguizamo,Niecy Nash,Suzzanne Douglas,Michael Kenneth Williams,Jharrel Jerome,Aunjanue Ellis,Felicity Huffman,Len Cariou,William Sadler,Adepero Oduye,Alexandra Templer,Denia Brache",United States,English,4,1
Fargo,,2014– ,Tous publics,"TV Series,53,m",8.9,"Crime,Drama,Thriller","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks,Russell Harvard,Bokeem Woodbine,Brad Mann,Kirsten Dunst,Ewan McGregor,Chris Rock,Patrick Wilson,Carrie Coon,Jessie Buckley,Jesse Plemons,Mary Elizabeth Winstead,Jason Schwartzman,David Thewlis,Ted Danson",United States,"English,German,Korean,Spanish,American Sign Language,French,Ukrainian,Hebrew,Russian",41,4
Hunter x Hunter,,2011–2014,Tous publics,"TV Series,24,m",9.0,"Animation,Action,Adventure","Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger.","Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Ise,Michael McConnohie,Erica Mendez,Erika Harlacher,Miyuki Sawashiro,Daisuke Namikawa,Matthew Mercer,Keiji Fujiwara,Keith Silverstein,Wataru Takagi,Tony Oliver,Bill Rogers,Ray Chase,Ben Diskin,Kyle Hebert",Japan,"Japanese,English",148,1
The Office,,2005–2013,13,"TV Series,22,m",8.9,Comedy,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson,Leslie David Baker,Brian Baumgartner,Angela Kinsey,Kate Flannery,Phyllis Smith,Creed Bratton,Oscar Nuñez,Mindy Kaling,B.J. Novak,Ed Helms,Paul Lieberstein,Craig Robinson,Ellie Kemper,Zach Woods",United States,English,188,9
L'attaque des titans,Original title: Shingeki no kyojin,2013–2022,16,"TV Series,24,m",9.0,"Animation,Action,Adventure","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Yûki Kaji,Marina Inoue,Josh Grelle,Yui Ishikawa,Bryce Papenbrook,Trina Nishimura,Kishô Taniyama,Hiro Shimono,Clifford Chapin,Mike McFarland,Romi Park,Hiroshi Kamiya,Yû Kobayashi,Matthew Mercer,Jessica Calvello,Daisuke Ono,Yoshimasa Hosoya,Ashly Burch",Japan,Japanese,86,4
True Detective,,2014–2019,12,"TV Series,55,m",8.9,"Crime,Drama,Mystery","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,Matthew McConaughey,Mahershala Ali,Woody Harrelson,Carmen Ejogo,Michelle Monaghan,Stephen Dorff,Michael Potts,Kelly Reilly,Scoot McNairy,Tory Kittles,Ray Fisher,Chris Kerson,Ritchie Coster,Sarah Gadon",United States,English,24,3
Cowboy Bebop,Original title: Kaubôi bibappu,1998–1999,Tous publics,"TV Series,24,m",8.9,"Animation,Action,Adventure",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum,Beau Billingslea,Kevin Seymour,Wendee Lee,Isshin Chiba,Melissa Fahn,Aoi Tada,Hiroshi Naka,Tsutomu Tareki,Miki Nagasawa,Toshihiko Nakajima,Jin Hirao,Skip Stellrecht,Kazuhiro Nakata,Shinpachi Tsuji",Japan,"English,Japanese",26,1
Death Note,Original title: Death Note: Desu nôto,2006–2007,10,"TV Series,24,m",9.0,"Animation,Crime,Drama",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,Trevor Devall,Brian Drummond,Naoya Uchida,Chris Britton,Keiji Fujiwara,Kappei Yamaguchi,Aya Hirano,Shannon Chan-Kent,Alessandro Juliani,Shidô Nakamura,John Murphy,Kazuya Nakai,Kiyoshi Kobayashi,French Tickner",Japan,Japanese,37,1
Le décalogue,Original title: Dekalog,1989–1990,TV-MA,"TV Mini Series,9,h, ,32,m",9.0,Drama,"Ten television drama films, each one based on one of the Ten Commandments.","Artur Barcis,Olgierd Lukaszewicz,Aleksander Bardini,Olaf Lubaszenko,Krystyna Janda,Piotr Machalica,Jan Tesarz,Stanislaw Gawlik,Krzysztof Kumor,Katarzyna Piwowarczyk,Maciej Szary,Henryk Baranowski,Miroslaw Baka,Adrianna Biedrzynska,Ewa Blaszczyk,Maria Koscialkowska,Daniel Olbrychski,Anna Polony","Poland,West Germany",Polish,10,1
The Civil War,,1990,TV-14,"TV Mini Series,11,h, ,20,m",9.0,"Documentary,History,War",A comprehensive survey of the American Civil War.,"David McCullough,Sam Waterston,Julie Harris,Jason Robards,Morgan Freeman,Paul Roebling,Garrison Keillor,George Black,Arthur Miller,Christopher Murney,Charles McDowell,Horton Foote,George Plimpton,Philip Bosco,Terry Courier,Jody Powell,Studs Terkel,Jeremy Irons",United States,English,9,1
